207	492
207	645
207	791
207	965
207	1002
492	207
492	645
492	791
492	965
492	1002
645	207
645	492
645	791
645	965
645	1002
791	207
791	492
791	645
791	965
791	1002
965	207
965	492
965	645
965	791
965	1002
1002	207
1002	492
1002	645
1002	791
1002	965
282	380
282	471
282	965
282	1024
282	1073
380	282
380	471
380	965
380	1024
380	1073
471	282
471	380
471	965
471	1024
471	1073
965	282
965	380
965	471
965	1024
965	1073
1024	282
1024	380
1024	471
1024	965
1024	1073
1073	282
1073	380
1073	471
1073	965
1073	1024
207	492
207	645
207	791
207	965
207	1002
492	207
492	645
492	791
492	965
492	1002
645	207
645	492
645	791
645	965
645	1002
791	207
791	492
791	645
791	965
791	1002
965	207
965	492
965	645
965	791
965	1002
1002	207
1002	492
1002	645
1002	791
1002	965
282	380
282	471
282	965
282	1024
282	1073
380	282
380	471
380	965
380	1024
380	1073
471	282
471	380
471	965
471	1024
471	1073
965	282
965	380
965	471
965	1024
965	1073
1024	282
1024	380
1024	471
1024	965
1024	1073
1073	282
1073	380
1073	471
1073	965
1073	1024
207	492
207	645
207	791
207	965
207	1002
492	207
492	645
492	791
492	965
492	1002
645	207
645	492
645	791
645	965
645	1002
791	207
791	492
791	645
791	965
791	1002
965	207
965	492
965	645
965	791
965	1002
1002	207
1002	492
1002	645
1002	791
1002	965
282	380
282	471
282	965
282	1024
282	1073
380	282
380	471
380	965
380	1024
380	1073
471	282
471	380
471	965
471	1024
471	1073
965	282
965	380
965	471
965	1024
965	1073
1024	282
1024	380
1024	471
1024	965
1024	1073
1073	282
1073	380
1073	471
1073	965
1073	1024
207	492
207	645
207	791
207	965
207	1002
492	207
492	645
492	791
492	965
492	1002
645	207
645	492
645	791
645	965
645	1002
791	207
791	492
791	645
791	965
791	1002
965	207
965	492
965	645
965	791
965	1002
1002	207
1002	492
1002	645
1002	791
1002	965
282	380
282	471
282	965
282	1024
282	1073
380	282
380	471
380	965
380	1024
380	1073
471	282
471	380
471	965
471	1024
471	1073
965	282
965	380
965	471
965	1024
